metric,status,model_families,num_groups,total_runs,anova_f,anova_p,anova_significant_p_lt_0_05,kruskal_h,kruskal_p,kruskal_significant_p_lt_0_05,levene_stat,levene_p,equal_variance_warning,eta_squared,omega_squared
best_val_macro_f1,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,1.114716642139772,0.35971773784637584,False,1.3400000000000034,0.5117085777865417,False,1.1291740143081026,0.35536300175107005,False,0.15667758790807806,0.015065122910169017
test_loss,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,2.188282134874846,0.15479278451597825,False,2.9399999999999977,0.2299254851867241,False,1.3065213555439947,0.30665041330983517,False,0.26724557102822555,0.13676836415165095
test_accuracy,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.20753205128206664,0.8154431307045117,False,0.667383512544802,0.7162745353353361,False,0.16315789473684678,0.8513100052489875,False,0.03343229637280058,0.0
balanced_accuracy,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.16875596457294206,0.8466851888900817,False,0.2600000000000051,0.8780954309205591,False,0.017646315878736774,0.9825339144859161,False,0.027356563550594567,0.0
macro_precision,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.1301957124476026,0.8791469266641915,False,0.14000000000000057,0.9323938199059479,False,0.2265141310301757,0.8006406456877446,False,0.021238426724811077,0.0
macro_recall,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.16875596457294206,0.8466851888900817,False,0.2600000000000051,0.8780954309205591,False,0.017646315878736774,0.9825339144859161,False,0.027356563550594567,0.0
macro_f1,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.14300249483656205,0.8682071380522323,False,0.14000000000000057,0.9323938199059479,False,0.08921752770815693,0.9152475381734327,False,0.02327892507886941,0.0
weighted_precision,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.18522439520176082,0.8332488857327159,False,0.6200000000000045,0.7334469562242876,False,0.17291761846684725,0.8432660499330416,False,0.02994626926477799,0.0
weighted_recall,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.20753205128206664,0.8154431307045117,False,0.667383512544802,0.7162745353353361,False,0.16315789473684678,0.8513100052489875,False,0.03343229637280058,0.0
weighted_f1,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.2064377341361544,0.8163061831144609,False,0.6200000000000045,0.7334469562242876,False,0.1644301413910149,0.850256362714953,False,0.033261871459809904,0.0
macro_specificity,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.2204650914342673,0.8053234752880697,False,0.6200000000000045,0.7334469562242876,False,0.15682582293010575,0.8565767793015095,False,0.03544189834583288,0.0
matthews_correlation_coefficient,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.2040704115979729,0.8181768624762289,False,0.6200000000000045,0.7334469562242876,False,0.1644603804033157,0.8502313380454227,False,0.0328929876773294,0.0
cohens_kappa,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.20746347238184276,0.8154971853803856,False,0.6200000000000045,0.7334469562242876,False,0.1624354218473019,0.8519090171526149,False,0.03342161791283273,0.0
multiclass_roc_auc_ovr_macro,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.18927404873841835,0.8299830541248161,False,1.2600000000000051,0.532591801006896,False,0.6315239377772194,0.5485641885201298,False,0.030580977227358662,0.0
specificity_basophil,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,3.5208333333332438,0.06264086210459828,False,5.14961240310078,0.07616858272157948,False,1.1935483870965489,0.3367041637703327,False,0.3698030634573362,0.2515592515592581
specificity_eosinophil,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,,,False,,,False,,,,,
specificity_erythroblast,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.16091954022991145,0.8531674538187342,False,0.21286549707603147,0.899035507580477,False,1.0588235294117647,0.377149515625,False,0.026119402985075015,0.0
specificity_immature granulocyte,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.6310794780545498,0.5487848363469169,False,1.3574239713774565,0.507269942716519,False,0.31367924528301083,0.7365672666720234,False,0.0951699463327443,0.0
specificity_lymphocyte,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.45744680851063796,0.6434910004434368,False,0.6960747663551392,0.7060724804880943,False,0.2203389830508745,0.8054214408709895,False,0.07084019769350418,0.0
specificity_monocyte,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.6545454545453884,0.537275611218295,False,0.8935064935065002,0.639701737282216,False,1.9132075471698085,0.19001687136121706,False,0.09836065573769011,0.0
specificity_neutrophil,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,0.19633225458468023,0.8243266105299754,False,2.366126126126132,0.3063389644753372,False,0.21190130624088147,0.8120078348761726,False,0.03168523676880732,0.0
specificity_platelet,ok,"ConvNeXtBase, EfficientNetV2S, SwinBase",3,15,,,False,,,False,,,,,
total_runtime_minutes,ok,"EfficientNetV2S, SwinBase",2,10,8.33084132491629,0.020313544881115423,True,6.818181818181813,0.009023438818080355,True,0.16467461861586632,0.6955256517003746,False,0.5101293411139669,0.422993967083228
